"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header"
"Internal Resistance R11","R11","2195","K / 1000","0","0.255","ohm","7E2"
"Internal Resistance R12","R12","2195","L / 1000","0","0.255","ohm","7E2"
"Internal Resistance R13","R13","2195","M / 1000","0","0.255","ohm","7E2"
"Internal Resistance R14","R14","2195","N / 1000","0","0.255","ohm","7E2"
"Racing Operation","Racing","2149","{L:5}","0","1","Off/On","7E0"
"Request Engine Run Time","ReqEngRun","2149","G / 10","0","25.5","s","7E0"
"Requested Engine Torque","ReqEngTorq","2149","(A * 256 + B) / 4","0","73","kW","7E0"
"RES/ACC Switch","RES/ACC","2121","{E:4}","0","1","Off/On","7E2"
"Engine Rev (Sensor)","RPM sensor","2141","(F * 256 + G) / 4","0","16383.75","RPM","7E2"
"Engine Speed of Cyl #1 (51199 rpm: Active Test not performed)","RPM#1","2154","(A * 256 + B) * 51199 / 65535","0","51199","RPM","7E0"
"Engine Speed of Cyl #2 (51199 rpm: Active Test not performed)","RPM#2","2154","(C * 256 + D) * 51199 / 65535","0","51199","RPM","7E0"
"Engine Speed of Cyl #3 (51199 rpm: Active Test not performed)","RPM#3","2154","(E * 256 + F) * 51199 / 65535","0","51199","RPM","7E0"
"Engine Speed of Cyl #4 (51199 rpm: Active Test not performed)","RPM#4","2154","(G * 256 + H) * 51199 / 65535","0","51199","RPM","7E0"
"Engine Speed_7E0","RPM_7E0","2101","(J * 256 + K) / 4","0","6000","RPM","7E0"
"Engine Speed_7E2","RPM_7E2","2101","(G * 256 + H) / 4","0","6000","RPM","7E2"
"Av Engine Speed of All Cyl (51199 rpm: Active Test not performed)","RPMavg","2154","(I * 256 + J) * 51199 / 65535","0","51199","RPM","7E0"
"Short Circuit Wave Highest Value","S/C Wave Hi","219B","D * 4.98 / 255","0","4.98","V","7E2"
"Seat Belt Beep Query (Dis A=0,Ena R=32,Ena P=64,Dis D=96,Ena D=128,Dis P=160,192=Dis R,Ena A=160)","SBB Query","21A7","A","0","192","","7C0"
"Standby Blower Request Status","SBRS","219B","{C:7}","0","1","Off/On","7E2"
"SET/COAST Switch","SET/COAST","2121","{E:3}","0","1","Off/On","7E2"
"Shift Sensor Main","Shift M","2141","A * 4.98 / 255","0","4.98","V","7E2"
"Shift Sensor Sub","Shift S","2141","B * 4.98 / 255","0","4.98","V","7E2"
"Shift Sensor Select Main","Shift Sel M","2141","C * 4.98 / 255","0","4.98","V","7E2"
"Shift Sensor Select Sub","Shift Sel S","2141","D * 4.98 / 255","0","4.98","V","7E2"
"Short FT #1","Short FT1","2103","C * 199.2 / 255 - 100","-100","99.2","%","7E0"
"State of Charge","SoC","015B","A * 20 / 51","30","90","%","7E2"
"State of Charge (All Bat)","SOC (All)","2101","V * 20 / 51","30","90","%","7E2"
"SOC after IG-ON","SOC ig-on","2198","F / 2","30","90","%","7E2"
"SOC Max","SOC max","2198","G / 2","30","90","%","7E2"
"SOC Min","SOC min","2198","H / 2","30","90","%","7E2"
"System Identification","Sys ID","21C1","R","0","0","","7E0"
"Target Air-Fuel Ratio","TAFR","2104","(A * 256 + B) * 1.99 / 65535","0","1.99","","7E0"
"Temp of Batt TB1","TB 1","2187","(C * 256 + D) * 255.9 / 65535 - 50","-50","60","C","7E2"
"Temp of Batt TB2","TB 2","2187","(E * 256 + F) * 255.9 / 65535 - 50","-50","60","C","7E2"
"Temp of Batt TB3","TB 3","2187","(G * 256 + H) * 255.9 / 65535 - 50","-50","60","C","7E2"
"HV battery intake air temperature","TB Intake","2187","(A * 256 + B) * 255.9 / 65535 - 50","-50","60","C","7E2"
"HV Target Engine Speed","TgtEngSpd","2149","C * 25","0","5200","RPM","7E0"
"Throttle Position","Throttle","2101","L * 20 / 51","0","100","%","7E2"
"Total FT #1","Total FT1","213C","E * 0.996 / 255 - 0.5","-0.5","0.496","","7E0"
"Battery Block Voltage -V01","V01","2181","(A * 256 + B) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V02","V02","2181","(C * 256 + D) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V03","V03","2181","(E * 256 + F) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V04","V04","2181","(G * 256 + H) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V05","V05","2181","(I * 256 + J) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V06","V06","2181","(K * 256 + L) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V07","V07","2181","(M * 256 + N) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V08","V08","2181","(O * 256 + P) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V09","V09","2181","(Q * 256 + R) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V10","V10","2181","(S * 256 + T) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V11","V11","2181","(U * 256 + V) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V12","V12","2181","(W * 256 + X) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V13","V13","2181","(Y * 256 + Z) * 79.99 / 65535","12","20","V","7E2"
"Battery Block Voltage -V14","V14","2181","(AA * 256 + AB) * 79.99 / 65535","12","20","V","7E2"
"Request Warm-up","WarmUp","2149","{L:6}","0","1","Off/On","7E0"
"Power Resource VB","VB","2181","(AE * 256 + AF) / 10","150","300","V","7E2"
"Wheel Cylinder Pressure Sensor","WC Pres","2107","A / 51","0","5","V","7B0"
"Vehicle Load","Veh Load","2101","(B * 256 + C) * 100 / 65535","0","100","%","7E0"
"VH-Voltage after Boosting","VHB","2174","(H * 256 + I) / 2","0","765","V","7E2"
"VL-Voltage before Boosting","VLB","2174","(F * 256 + G) / 2","0","300","V","7E2"
"Battery block maximum voltage","Vmax","2192","(D * 256 + E) * 79.99 / 65535","12","20","V","7E2"
"Difference between maximum & minimum voltage","Vmax-Vmin","2192","((D - A) * 256 + E - B) * 79.99 / 65535","0","2","V","7E2"
"VMF Fan Motor Voltage1","VMF1","2181","AG / 10","0","16","V","7E2"
"Battery block minimum voltage","Vmin","2192","(A * 256 + B) * 79.99 / 65535","12","20","V","7E2"
"Water Pump Run Control Duty","WP Duty","2179","C * 6.25","0","100","%","7E2"
"Water Pump Running","WP run","2175","{A:4}","0","1","Off/On","7E2"
"VVT Aim Angle #1","VVTAA1","2144","(A * 256 + B) * 399.9 / 65535","0","100","%","7E0"
"VVT Change Angle #1","VVTCA1","2144","(E * 256 + F) * 639.9 / 65535","0","639.9","DegFR","7E0"
"VVT OCV Duty #1","VVTOCVD1","2144","(C * 256 + D) * 399.9 / 65535","0","100","%","7E0"
